Questions,Answers,Labels
List down some of the shortcomings of the Random Forest Algorithm.,"The shortcomings of the Random Forest algorithm are as follows:

1. Random Forests aren’t good at generalizing cases with completely new data.

For Example, If we know that the cost of one ice cream is $1, 2 ice-creams cost $2, and 3 ice-creams cost $3, then how much do 10 ice-creams cost? In such cases, Linear regression models can easily figure this out, while a Random Forest has no way of finding the answer.

2. Random forests are biased towards the categorical variable having multiple levels or categories. It is because the feature selection technique is based on the reduction in impurity and is biased towards preferring variables with more categories so the variable selection is not accurate for this type of data.",Random_forest
 List down the advantages and disadvantages of the Random Forest Algorithm.,"Random Forest is unbiased as we train multiple decision trees and each tree is trained on a subset of the same training data.
It is very stable since if we introduce the new data points in the dataset, then it does not affect much as the new data point impacts one tree, and is pretty hard to impact all the trees.
Also, it works well when you have both categorical and numerical features in the problem statement.
It performs very well, with missing values in the dataset.
Disadvantages:

Complexity is the major disadvantage of this algorithm. More computational resources are required and also results in a large number of decision trees combined together.
Due to their complexity, training time is more compared to other algorithms.",Random_forest
What are Support Vector Machines (SVMs)?,"SVM is a supervised machine learning algorithm that works on both classification and regression problem statements. For classification problem statements, it tries to differentiate data points of different classes by finding a hyperplane that maximizes the margin between the classes in the training data. In simple words, SVM tries to choose the hyperplane which separates the data points as widely as possible since this margin maximization improves the model’s accuracy on the test or the unseen data.",SVM
What are Support Vectors in SVMs?,"Support vectors are those instances that are located on the margin itself. For SVMS, the decision boundary is entirely determined by using only the support vectors. Any instance that is not a support vector (not on the margin boundaries) has no influence whatsoever; you could remove them or add more instances, or move them around, and as long as they stay off the margin they won’t affect the decision boundary. For computing the predictions, only the support vectors are involved, not the whole training set",SVM
What is the basic principle of a Support Vector Machine?,"It’s aimed at finding an optimal hyperplane that is linearly separable, and for the dataset which is not directly linearly separable, it extends its formulation by transforming the original data to map into a new space, which is also called kernel trick.",SVM
What are hard margin and soft Margin SVMs?,"Hard margin SVMs work only if the data is linearly separable and these types of SVMs are quite sensitive to the outliers. But our main objective is to find a good balance between keeping the margins as large as possible and limiting the margin violation i.e. instances that end up in the middle of margin or even on the wrong side, and this method is called soft margin SVM.",SVM
What do you mean by Hinge loss?,"Properties of Hinge loss function: It is equal to 0 when the value of t is greater than or equal to 1 i.e, t>=1. Its derivative (slope) is equal to –1 if t < 1 and 0 if t > 1. It is not differentiable at t = 1. It penalizes the model for wrongly classifying the instances and increases as far the instance is classified from the correct region of classification.",SVM
 What is the “Kernel trick”?,A Kernel is a function capable of computing the dot product of instances mapped in higher dimension space without actually transforming all the instances into the higher feature space and calculating the dot product. This trick makes the whole process much less computationally expensive than that actual transformation to calculate the dot product and this is the essence of the kernel trick.,SVM
What is the role of the C hyper-parameter in SVM? Does it affect the bias/variance trade-off?,The balance between keeping the margins as large as possible and limiting the margin violation is controlled by the C parameter: a small value leads to a wider street but more margin violation and a higher value of C makes fewer margin violations but ends up with a smaller margin and overfitting. Here thing becomes a little complex as we have conflicting objectives of making the slack variables as small as possible to reduce margin violation and make W as small as possible to increase the margin. This is where the role of the C hyperparameter comes in which allows us to define the trade-off between these two objectives.,SVM
Explain different types of kernel functions.,"A function is called kernel if there exist a function ϕ that maps a and b into another space such that K(a, b) = ϕ(a)T · ϕ(b). So you can use K as a kernel since you just know that a mapping ϕ exists, even if you don’t know what ϕ function is.  These are the very good things about kernels. Some of the kernel functions are as follows: Polynomial Kernel: These are the kernel functions that represent the similarity of vectors in a feature space over polynomials of original variables. Gaussian Radial Basis Function (RBF) kernel:  Gaussian RBF kernel maps each training instance to an infinite-dimensional space, therefore it’s a good thing that you don’t need to perform the mapping.",SVM
How you formulate SVM for a regression problem statement?,"For formulating SVM as a regression problem statement we have to reverse the objective: instead of trying to fit the largest possible street between two classes which we will do for classification problem statements while limiting margin violations, now for SVM Regression, it tries to fit as many instances as possible between the margin while limiting the margin violations.",SVM
What affects the decision boundary in SVM?,"Adding more instances off the margin of the hyperplane does not affect the decision boundary, it is fully determined (or supported ) by the instances located at the edge of the street called support vectors",SVM
What is a slack variable?,"To meet the soft margin objective, we need to introduce a slack variable ε>=0 for each sample; it measures how much any particular instance is allowed to violate the margin. Here thing becomes little complex as we have conflicting objectives of making the slack variables as small as possible to reduce margin violation and make w (weight matrix) as small as possible to increase the margin. This is where the role of the C hyperparameter comes which allows us to define the trade-off between these two objectives.",SVM
What is a dual and primal problem and how is it relevant to SVMs?,"Given a constrained optimization problem, known as the Primal problem, it is possible to express a different but closely related problem, which is known as its Dual problem. The solution to the dual problem typically provides a lower bound to the solution of the primal problem, but under some conditions, it can be possible that it has even the same solutions as the primal problem. Fortunately, the SVM problem completes these conditions, so that you can choose to solve the primal problem or the dual problem; and they both will have the same solution.",SVM
Can an SVM classifier outputs a confidence score when it classifies an instance? What about a probability?,"An SVM classifier can give the distance between the test instance and the decision boundary as output, so we can use that as a confidence score, but we cannot use this score to directly converted it into class probabilities. But if you set probability=True when building a model of SVM in Scikit-Learn, then after training it will calibrate the probabilities using Logistic Regression on the SVM’s scores. By using this techniques, we can add the predict_proba() and predict_log_proba() methods to the SVM model.",SVM
If you train an SVM classifier with an RBF kernel. It seems to underfit the training dataset: should you increase or decrease the hyper-parameter γ (gamma)? What about the C hyper-parameter?,"If we trained an SVM classifier using a Radial Basis Function (RBF) kernel, then it underfits the training set, so there might be too much regularization. To decrease it, you need to increase the gamma or C hyper-parameter.",SVM
Is SVM sensitive to the Feature Scaling?,"Yes, SVMs are sensitive to feature scaling as it takes input data to find the margins around hyperplanes and gets biased for the variance in high values.",SVM
What is the KNN Algorithm?,"KNN(K-nearest neighbours) is a supervised learning and non-parametric algorithm that can be used to solve both classification and regression problem statements. It uses data in which there is a target column present i.e, labelled data to model a function to produce an output for the unseen data. It uses the euclidean distance formula to compute the distance between the data points for classification or prediction. The main objective of this algorithm is that similar data points must be close to each other so it uses the distance to calculate the similar points that are close to each other.",KNN
Why is KNN a non-parametric Algorithm?,"The term “non-parametric” refers to not making any assumptions on the underlying data distribution. These methods do not have any fixed numbers of parameters in the model. Similarly in KNN, the model parameters grow with the training data by considering each training case as a parameter of the model. So, KNN is a non-parametric algorithm.",KNN
What is “K” in the KNN Algorithm?,"K represents the number of nearest neighbours you want to select to predict the class of a given item, which is coming as an unseen dataset for the model.",KNN
Why is the odd value of “K” preferred over even values in the KNN Algorithm?,"The odd value of K should be preferred over even values in order to ensure that there are no ties in the voting. If the square root of a number of data points is even, then add or subtract 1 to it to make it odd.",KNN
How does the KNN algorithm make the predictions on the unseen dataset?,"The following operations have happened during each iteration of the algorithm. For each of the unseen or test data point, the kNN classifier must: Step-1: Calculate the distances of test point to all points in the training set and store them. Step-2: Sort the calculated distances in increasing order. Step-3: Store the K nearest points from our training dataset. Step-4: Calculate the proportions of each class. Step-5: Assign the class with the highest proportion",KNN
Is Feature Scaling required for the KNN Algorithm? Explain with proper justification.,"Yes, feature scaling is required to get the better performance of the KNN algorithm. For Example, Imagine a dataset having n number of instances and N number of features. There is one feature having values ranging between 0 and 1. Meanwhile, there is also a feature that varies from -999 to 999. When these values are substituted in the formula of Euclidean Distance, this will affect the performance by giving higher weightage to variables having a higher magnitude.",KNN
What is space and time complexity of the KNN Algorithm?,"Time complexity: The distance calculation step requires quadratic time complexity, and the sorting of the calculated distances requires an O(N log N) time. Together, we can say that the process is an O(N3 log N) process, which is a monstrously long process. Space complexity: Since it stores all the pairwise distances and is sorted in memory on a machine, memory is also the problem. Usually, local machines will crash, if we have very large datasets.",KNN
Can the KNN algorithm be used for regression problem statements?,"Yes, KNN can be used for regression problem statements. In other words, the KNN algorithm can be applied  when the dependent variable is continuous. For regression problem statements, the predicted value is given by the average of the values of its k nearest neighbours.",KNN
Why is the KNN Algorithm known as Lazy Learner?,"When the KNN algorithm gets the training data, it does not learn and make a model, it just stores the data. Instead of finding any discriminative function with the help of the training data, it follows instance-based learning and also uses the training data when it actually needs to do some prediction on the unseen datasets. As a result, KNN does not immediately learn a model rather delays the learning thereby being referred to as Lazy Learner.",KNN
Why is it recommended not to use the KNN Algorithm for large datasets?,"The Problem in processing the data: KNN works well with smaller datasets because it is a lazy learner. It needs to store all the data and then make a decision only at run time. It includes the computation of distances for a given point with all other points. So if the dataset is large, there will be a lot of processing which may adversely impact the performance of the algorithm. Sensitive to noise: Another thing in the context of large datasets is that there is more likely a chance of noise in the dataset which adversely affects the performance of the KNN algorithm since the KNN algorithm is sensitive to the noise present in the dataset.",KNN
How to handle categorical variables in the KNN Algorithm?,"To handle the categorical variables we have to create dummy variables out of a categorical variable and include them instead of the original categorical variable. Unlike regression, create k dummies instead of (k-1). For example, a categorical variable named “Degree” has 5 unique levels or categories. So we will create 5 dummy variables. Each dummy variable has 1 against its degree and else 0.",KNN
How to choose the optimal value of K in the KNN Algorithm?,"There is no straightforward method to find the optimal value of K in the KNN algorithm. You have to play around with different values to choose which value of K should be optimal for my problem statement. Choosing the right value of K is done through a process known as Hyperparameter Tuning. The optimum value of K for KNN is highly dependent on the data itself. In different scenarios, the optimum K may vary. It is more or less a hit and trial method. There is no one proper method of finding the K value in the KNN algorithm. No method is the rule of thumb but you should try the following suggestions: 1. Square Root Method: Take the square root of the number of samples in the training dataset and assign it to the K value. 2. Cross-Validation Method: We should also take the help of cross-validation to find out the optimal value of K in KNN. Start with the minimum value of k i.e, K=1, and run cross-validation, measure the accuracy, and keep repeating till the results become consistent. As the value of K increase,the error usually goes down after each one-step increase in K, then stabilizes, and then raises again. Finally, pick the optimum K at the beginning of the stable zone. This technique is also known as the Elbow Method",KNN
How can you relate KNN Algorithm to the Bias-Variance tradeoff?,"Problem with having too small K: The major concern associated with small values of K lies behind the fact that the smaller value causes noise to have a higher influence on the result which will also lead to a large variance in the predictions. Problem with having too large K: The larger the value of K, the higher is the accuracy. If K is too large, then our model is under-fitted. As a result, the error will go up again. So, to prevent your model from under-fitting it should retain the generalization capabilities otherwise there are fair chances that your model may perform well in the training data but drastically fail in the real data. The computational expense of the algorithm also increases if we choose the k very large. So, choosing k to a large value may lead to a model with a large bias(error). The effects of k values on the bias and variance is explained below : As the value of k increases, the bias will be increases As the value of k decreases, the variance will increases With the increasing value of K, the boundary becomes smoother. So, there is a tradeoff between overfitting and underfitting and you have to maintain a balance while choosing the value of K in KNN. Therefore, K should not be too small or too large.",KNN
Which algorithm can be used for value imputation in both categorical and continuous categories of data?,"KNN is the only algorithm that can be used for the imputation of both categorical and continuous variables. It can be used as one of many techniques when it comes to handling missing values. To impute a new sample, we determine the samples in the training set “nearest” to the new sample and averages the nearby points to impute. A Scikit learn library of Python provides a quick and convenient way to use this technique. Note: NaNs are omitted while distances are calculated. Hence we replace the missing values with the average value of the neighbours. The missing values will then be replaced by the average value of their “neighbours”.",KNN
Explain the statement- “The KNN algorithm does more computation on test time rather than train time”.,"The above-given statement is absolutely true. The basic idea behind the kNN algorithm is to determine a k-long list of samples that are close to a sample that we want to classify. Therefore, the training phase is basically storing a training set, whereas during the prediction stage the algorithm looks for k-neighbours using that stored data. Moreover, KNN does not learn anything from the training dataset as well.",KNN
What are the things which should be kept in our mind while choosing the value of k in the KNN Algorithm?,"If K is small, then results might not be reliable because the noise will have a higher influence on the result. If K is large, then there will be a lot of processing to be done which may adversely impact the performance of the algorithm. So, the following things must be considered while choosing the value of K: K should be the square root of n (number of data points in the training dataset). K should be chosen as the odd so that there are no ties. If the square root is even, then add or subtract 1 to it.",KNN
What are the advantages of the KNN Algorithm?,"Some of the advantages of the KNN algorithm are as follows: 1. No Training Period: It does not learn anything during the training period since it does not find any discriminative function with the help of the training data. In simple words, actually, there is no training period for the KNN algorithm. It stores the training dataset and learns from it only when we use the algorithm for making the real-time predictions on the test dataset. As a result, the KNN algorithm is much faster than other algorithms which require training. For Example, SupportVector Machines(SVMs), Linear Regression, etc. Moreover, since the KNN algorithm does not require any training before making predictions as a result new data can be added seamlessly without impacting the accuracy of the algorithm. 2. Easy to implement and understand: To implement the KNN algorithm, we need only two parameters i.e. the value of K and the distance metric(e.g. Euclidean or Manhattan, etc.). Since both the parameters are easily interpretable therefore they are easy to understand.",KNN
What are the disadvantages of the KNN Algorithm?,"Some of the disadvantages of the KNN algorithm are as follows: 1. Does not work well with large datasets: In large datasets, the cost of calculating the distance between the new point and each existing point is huge which decreases the performance of the algorithm. 2. Does not work well with high dimensions: KNN algorithms generally do not work well with high dimensional data since, with the increasing number of dimensions, it becomes difficult to calculate the distance for each dimension. 3. Need feature scaling: We need to do feature scaling (standardization and normalization) on the dataset before feeding it to the KNN algorithm otherwise it may generate wrong predictions. 4. Sensitive to Noise and Outliers: KNN is highly sensitive to the noise present in the dataset and requires manual imputation of the missing values along with outliers removal.",KNN
Is it possible to use the KNN algorithm for Image processing?,"Yes, KNN can be used for image processing by converting a 3-dimensional image into a single-dimensional vector and then using it as the input to the KNN algorithm.",KNN
What are the real-life applications of KNN Algorithms?,"The various real-life applications of the KNN Algorithm includes: 1. KNN allows the calculation of the credit rating. By collecting the financial characteristics vs. comparing people having similar financial features to a database we can calculate the same. Moreover, the very nature of a credit rating where people who have similar financial details would be given similar credit ratings also plays an important role. Hence the existing database can then be used to predict a new customer’s credit rating, without having to perform all the calculations. 2. In political science: KNN can also be used to predict whether a potential voter “will vote” or “will not vote”, or to “vote Democrat” or “vote Republican” in an election. Apart from the above-mentioned use cases, KNN algorithms are also used for handwriting detection (like OCR), Image recognition, and video recognition.",KNN
Explain the introduction to Bayesian Statistics And Bayes Theorem?,"It calculates the degree of belief in a certain event and gives a probability of the occurrence of some statistical problem. Let’s consider an example: Suppose, from 4 basketball matches, John won 3 and Harry won only one. Now, if you have to bet on either John or Harry. So, what would you do? The answer is obvious – John. But, let’s add another factor to the match, which is rain. When Harry won, it was raining. But, when John won, out of 3 matches, 1 time it was raining. If the weather forecast says that there is an extremely high possibility of rain on the day of the next match. So, who would you bet on? Even without using it, you can tell that the comparison basis has changed and chances of Harry winning have increased. That is where Bayesian statistics PDF helps. Hence, the exact probability can be calculated with Bayes theorem. Introduction to Bayes Theorem Frequently Asked Bayesian Statistics Interview Questions and Answers Bayes Theorem Source Wikipedia The Bayes theorem is: P (A/B) = P(B/A)P(A) / P(B) Considering the above example, here’s what the values are: P(A) = ¼, Harry won one out of 4 matches. P(B) = ½, it rained two times out of 4 match days. P(B/A) = 1, when Harry won it was raining. Placing the values in the formula, the chances of Harry winning will become 50%, which was only 25% earlier. Check out this video for more information.",NAÏVE BAYES
Explain The Bayes’ Box,"The Bayes’ box is a method of representing and solving probability through Bayes theorem. (a) Hypothesis, (b) Prior, (c) Likelihood, (d) Likelihood x Prior, (e) Posterior, A. 0.75, 1, 0.75, 0.857, B. 0.25, 0.5, 0.125, 0.143, Total = 0.875, 1. The prior probabilities are assumed values without additional factors. The likelihood is nothing but the probability of A and B. The posterior probabilities are results after considering added information. (For instance, rain in the above example). Bayesian Statistics PDF is a good resource to understand this concept with thorough details. ",NAÏVE BAYES
Which Is Better Bayesian Or Frequentist Statistics?,"It shows a degree of belief, which means that it reflects our everyday knowledge of probability. When a person, who doesn’t know either frequentist or Bayesian, thinks of probability, then it will be Bayesian. These statistics give a value to your belief. Frequentists only find the probability of events or observations like a 50% probability of tails in a coin toss. Answering how much is the probability of a certain coin showing tails is not possible in frequentists. It will automatically assume prior values to be 0.5 in this case. ",NAÏVE BAYES
How Bayesian Statistics Is Related To Machine Learning?,"Bayesian Inference: Machine learning simply tries to predict something about a certain system based on data available. But Bayesian statistics, on the other hand, is the degree of belief. Bayesian machine learning is useful when there are fewer data available. So, using this method, it is predicted what the model will look like based on prior knowledge. For instance, predicting whether a coin will land on tails lead to uncertainty. The scope of the answer will be limited. If you flip this coin 100 times and receive 50 tails and 50 heads, then you can say the probability is 50%. But, what if the result is 70 times tails and 30 times heads? We all know the probability of heads and tails while flipping a coin is 50-50. With less data, you have the chances of landing on an incorrect conclusion. Using Bayesian inference, will lead to an answer, which says, “If the coin is not biased, the probability is 70-30.” Hence, Bayesian induces uncertainty in answer to make it more relevant.",NAÏVE BAYES
Explain Naive Bayes Classifier,"Naive Bayes Classifier Source Wikipedia. There are three naïve Bayes classifiers:The Multinomial classifier uses multinomial distribution on each word of a sentence. Every word is treated independently rather than being treated as a part of the sentence. The Gaussian classifier is utilized with continuous data. It assumes that each data class is distributed as a Gaussian distribution. The Bernoulli classifier assumes that every feature present is binary, which means it can only take either of the two values.",NAÏVE BAYES
Explain The Strength Of Bayesian Statistics,"Naive Bayes Classifier Source Wikipedia. There are three naïve Bayes classifiers:The Multinomial classifier uses multinomial distribution on each word of a sentence. Every word is treated independently rather than being treated as a part of the sentence. The Gaussian classifier is utilized with continuous data. It assumes that each data class is distributed as a Gaussian distribution. The Bernoulli classifier assumes that every feature present is binary, which means it can only take either of the two values.",NAÏVE BAYES
 Do You Think That Bayesian Statistics Has The Power To Replace Frequentists?,"Both frequentists and Bayesian statistics have specific applications, which is why these methods are used frequently. For instance, if you can solve a certain problem with both Bayesian and frequentists, use the one that does it simply. Suppose, when you have to solve huge problems that have streaming data, Bayesian will only give an approximation.",NAÏVE BAYES
Explain The Difference Between Maximum Likelihood Estimation (MLE) And Bayesian Statistics,"Maximum Likelihood Estimation: Suppose, you tossed a coin 10 times, the result was 7 heads and 3 tails. This means that the probability of getting a “head” is 70% and “tail” is 30% in the 11th toss. This is one of the many possible arrangements and related estimation. The method is called maximum likelihood estimation. Now, since we know that the possibility of heads and tails is 50%, we can consider this prior information. Then, calculate what will be the outcome in the 11th toss. This method is Bayesian statistics. Bayesian Statistics PDF can provide you with detailed information on this.",NAÏVE BAYES
What Are Some Unique Applications Of Bayesian Statistics And Bayes Theorem?,"There are various unique applications of it and Bayes theorem. Here are some of these: It can be used to decide whether a project will finish on time or not? There are only two possible outcomes, either it will finish on/before time or it will not. Using multiple blood samples to decide diseases. Utilizing it as a spam filter considering previous patterns. It is used to detect whether a certain water body is fit for various purposes such as drinking, agriculture, etc. Since, due to the presence of various pollutants, it is not possible to give an exact quantifier, the Bayesian method is used.",NAÏVE BAYES
Why Bayesian Statistics Is Important?,"It is fundamentally sound and at some times, highly useful. In addition, it uses the rigid format of the likelihood of the outcome and prior knowledge of a possible situation. Then, the posterior probability is calculated. This rigid nature of the method sometimes helps in solving complex models. In addition, it is really essential in some instances because it quantifies a degree of belief. Hence, it can quantify and find the probability of if a certain belief is true or not. If we look at frequentist statistics, it can only quantify events and not a hypothesis.",NAÏVE BAYES
Explain The Difference Between Bayes Theorem And Conditional Probability,"Conditional probability finds the probability of an event A in accordance with the occurrence of other event B. It is represented as: P(A|B) = P(A∩B)/P(B), P(A∩B) is the probability of both A and B occurring at the same time. P(A/B) is the probability of occurrence of A when B has already occurred. For example, you went to the market to buy cheese and butter. We know P(Cheese ∩ Butter) is 0.3, P(Cheese) is 0.4, and P(Butter) is 0.6. P( Cheese/Butter) = 1/2, P(Butter/ Cheese) = 3/4. Bayes theorem is actually an extension of conditional probability. It is represented as: P(A|B) = P(B|A) * P(A)/P(B). Here, The conditional probability answers the probability of occurrence of A when B has already occurred. In that case, the Bayes theorem answers using prior beliefs and comes to a posterior conclusion.",NAÏVE BAYES
Explain The Inconsistencies In Bayesian Inference,"There are various loopholes in Bayesian inference:In most real-world examples, obtaining the prior probability is often hard. When both prior and likelihood become too complicated, MCMC (Markov chain Monte Carlo) sampling is used. This is extremely slow in real instances. In order to quantify the prior knowledge, the user can influence the result, unknowingly or knowingly.",NAÏVE BAYES
What is the Decision Tree Algorithm?,A Decision Tree is a supervised machine learning algorithm that can be used for both Regression and Classification problem statements. It divides the complete dataset into smaller subsets while at the same time an associated Decision Tree is incrementally developed. The final output of the Decision Trees is a Tree having Decision nodes and leaf nodes. A Decision Tree can operate on both categorical and numerical data. Decision Trees Questions Algorithm,Decision tree
List down some popular algorithms used for deriving Decision Trees along with their attribute selection measures.,Some of the popular algorithms used for constructing decision trees are: 1. ID3 (Iterative Dichotomiser): Uses Information Gain as attribute selection measure. 2. C4.5 (Successor of ID3):  Uses Gain Ratio as attribute selection measure. 3. CART (Classification and Regression Trees) – Uses Gini Index as attribute selection measure.,Decision tree
Explain the CART Algorithm for Decision Trees.,"The CART stands for Classification and Regression Trees is a greedy algorithm that greedily searches for an optimum split at the top level, then repeats the same process at each of the subsequent levels. Moreover, it does verify whether the split will lead to the lowest impurity or not as well as the solution provided by the greedy algorithm is not guaranteed to be optimal, it often produces a solution that’s reasonably good since finding the optimal Tree is an NP-Complete problem that requires exponential time complexity. As a result, it makes the problem intractable even for small training sets. This is why we must go for a “reasonably good” solution instead of an optimal solution.",Decision tree
List down the attribute selection measures used by the ID3 algorithm to construct a Decision Tree.,"The most widely used algorithm for building a Decision Tree is called ID3. ID3 uses Entropy and Information Gain as attribute selection measures to construct a Decision Tree. 1. Entropy:  A Decision Tree is built top-down from a root node and involves the partitioning of data into homogeneous subsets. To check the homogeneity of a sample, ID3 uses entropy. Therefore, entropy is zero when the sample is completely homogeneous, and entropy of one when the sample is equally divided between different classes. 2. Information Gain:  Information Gain is based on the decrease in entropy after splitting a dataset based on an attribute. The meaning of constructing a Decision Tree is all about finding the attributes having the highest information gain. Decision Trees Questions information gain entropy",Decision tree
Briefly explain the properties of Gini Impurity.,"Let X (discrete random variable) takes values y₊ and y₋ (two classes). Now, let’s consider the different cases: Case- 1:  When 100% observations belong to y₊ . Then, the Gini impurity of the system would be: – Decision Trees Questions gini impurity. Case- 2:  When 50% observations belong to y₊ . Then, the Gini impurity of the system would be: Decision Trees Questions gini impurity example. Case- 3:  When 0% observations belong to y₊ . Then, the Gini impurity of the system would be: case 3. After observing all these cases, the graph of Gini impurity w.r.t to y₊ would come out to be: gini impurity graph",Decision tree
Explain the difference between the CART and ID3 Algorithms.,"The CART algorithm produces only binary Trees: non-leaf nodes always have two children (i.e., questions only have yes/no answers). On the contrary, other Tree algorithms such as ID3 can produce Decision Trees with nodes having more than two children.",Decision tree
Which should be preferred among Gini impurity and Entropy?,"In reality, most of the time it does not make a big difference: they lead to almost similar Trees. Gini impurity is a good default while implementing in sklearn since it is slightly faster to compute. However, when they work in a different way, then Gini impurity tends to isolate the most frequent class in its own branch of the Tree, while entropy tends to produce slightly more balanced Trees.",Decision tree
List down the different types of nodes in Decision Trees.,The Decision Tree consists of the following different types of nodes: 1. Root node: It is the top-most node of the Tree from where the Tree starts. 2. Decision nodes: One or more Decision nodes that result in the splitting of data into multiple data segments and our main goal is to have the children nodes with maximum homogeneity or purity. 3. Leaf nodes: These nodes represent the data section having the highest homogeneity.,Decision tree
"What do you understand about Information Gain? Also, explain the mathematical formulation associated with it.","Information gain is the difference between the entropy of a data segment before the split and after the split i.e, reduction in impurity due to the selection of an attribute. Some points keep in mind about information gain: The high difference represents high information gain. Higher the difference implies the lower entropy of all data segments resulting from the split. Thus, the higher the difference, the higher the information gain, and the better the feature used for the split. Mathematically, the information gain can be computed by the equation as follows: Information Gain = E(S1) – E(S2) – E(S1) denotes the entropy of data belonging to the node before the split. – E(S2) denotes the weighted summation of the entropy of children nodes by considering the weights as the proportion of data instances falling in specific children nodes.",Decision tree
Do we require Feature Scaling for Decision Trees? Explain.,"Decision Trees are mainly intuitive, easy to interpret as well as require less data preparation. In fact, they don’t require feature scaling or centering(standardization) at all. Such models are often called white-box models. Decision Trees provide simple classification rules based on if and else statements which can even be applied manually if need be. For Example, Flower classification for the Iris dataset.",Decision tree
What are the disadvantages of Information Gain?,"Information gain is defined as the reduction in entropy due to the selection of a particular attribute. Information gain biases the Decision Tree against considering attributes with a large number of distinct values which might lead to overfitting. In order to solve this problem, the Information Gain Ratio is used.",Decision tree
List down the problem domains in which Decision Trees are most suitable.,"Decision Trees are suitable for the following cases: 1. Decision Trees are most suitable for tabular data. 2. The outputs are discrete. 3. Explanations for Decisions are required. 4. The training data may contain errors, noisy data(outliers). 5. The training data may contain missing feature values.",Decision tree
Explain the time and space complexity of training and testing in the case of a Decision Tree.,"Time and Space complexity for Training: In the training stage for features (dimensions) in the dataset, we sort the data which takes O(n log n) time following which we traverse the data points to find the right threshold which takes O(n) time. Subsequently, for d dimensions, the total time complexity would be: Decision Trees Questions time and space complexity Usually while training a decision tree we identify the nodes which are typically stored in the form of if-else statements due to which training space complexity is O(nodes). Time and Space Complexity for Testing: Moreover, the testing time complexity is O(depth) as we have to traverse from the root to a leaf node of the decision tree i.e., testing space complexity is O(nodes).",Decision tree
"If it takes one hour to train a Decision Tree on a training set containing 1 million instances, roughly how much time will it take to train another Decision Tree on a training set containing 10 million instances?","As we know that the computational complexity of training a Decision Tree is given by O(n × m log(m)). So, when we multiplied the size of the training set by 10, then the training time will be multiplied by some factor, say K. Now, we have to determine the value of K. To finds K, divide the complexity of both: K = (n × 10m × log(10m)) / (n × m × log(m)) = 10 × log(10m) / log(m). For 10 million instances i.e., m = 106, then we get the value of K ≈ 11.7. Therefore, we can expect the training time to be roughly 11.7 hours.",Decision tree
How does a Decision Tree handle missing attribute values?,Decision Trees handle missing values in the following ways: Fill the missing attribute value by the most common value of that attribute. Fill the missing value by assigning a probability to each of the possible values of the attribute based on other samples.,Decision tree
How does a Decision Tree handle continuous(numerical) features?,"Decision Trees handle continuous features by converting these continuous features to a threshold-based boolean feature. To decide The threshold value, we use the concept of Information Gain, choosing that threshold that maximizes the information gain.",Decision tree
What is the Inductive Bias of Decision Trees?,"The ID3 algorithm preferred Shorter Trees over longer Trees. In Decision Trees, attributes having high information gain are placed close to the root are preferred over those that do not.",Decision tree
Explain Feature Selection using the Information Gain/Entropy Technique.,The goal of the feature selection while building a Decision Tree is to select features or attributes (Decision nodes) which lead to a split in children nodes whose combined entropy adds up to lower entropy than the entropy value of the data segment before the split. This implies higher information gain.,Decision tree
Compare the different attribute selection measures.,"The three measures, in general, returns good results, but: 1. Information Gain: It is biased towards multivalued attributes, 2. Gain ratio: It prefers unbalanced splits in which one data segment is much smaller than the other segment, 3. Gini Index: It is biased to multivalued attributes, has difficulty when the number of classes is large, tends to favor tests that result in equal-sized partitions and purity in both partitions.",Decision tree
"Does the Gini Impurity of a node lower or greater than that of its parent. Comment whether it is generally lower/greater, or always lower/greater?","A node’s Gini impurity is generally lower than that of its parent as the CART training algorithm cost function splits each of the nodes in a way that minimizes the weighted sum of its children’s Gini impurities. However, sometimes it is also possible for a node to have a higher Gini impurity than its parent but in such cases, the increase is more than compensated by a decrease in the other child’s impurity. For better understanding we consider the following Example: Consider a node containing four samples of class A and one sample of class B. Then, its Gini impurity is calculated as 1 – (1/5)2 – (4/5)2= 0.32. Now suppose the dataset is one-dimensional and the instances are arranged in the manner: A, B, A, A, A. We can verify that the algorithm will split this node after the second instance, producing one child node with instances A, B, and the other child node with instances A, A, A. Then, the first child node’s Gini impurity is 1 – (1/2)2 – (1/2)2 = 0.5, which is higher than its parent’s. This is compensated for by the fact that the other node is pure, so its overall weighted Gini impurity is 2/5 × 0.5 + 3/5 × 0 = 0.2, which is lower than the parent’s Gini impurity.",Decision tree
Why do we require Pruning in Decision Trees? Explain.,"After we create a Decision Tree we observe that most of the time the leaf nodes have very high homogeneity i.e., properly classified data. However, this also leads to overfitting. Moreover, if enough partitioning is not carried out then it would lead to underfitting. Hence the major challenge that arises is to find the optimal trees which result in the appropriate classification having acceptable accuracy. So to cater to those problems we first make the decision tree and then use the error rates to appropriately prune the trees.",Decision tree
Are Decision Trees affected by the outliers? Explain.,"Decision Trees are not sensitive to noisy data or outliers since, extreme values or outliers, never cause much reduction in Residual Sum of Squares(RSS), because they are never involved in the split.",Decision tree
